Date,AAPL
2002-02-04,38.3500
2002-02-05,38.3300
2002-02-06,38.9200
2002-02-07,38.3000
2002-02-08,38.2900
2002-02-11,38.5000
2002-02-12,38.4000
2002-02-13,38.6400
2002-02-14,39.0000
2002-02-15,38.9000
2002-02-19,38.7700
2002-02-20,38.9900
2002-02-21,39.1500
2002-02-22,40.7200
2002-02-25,41.0000
2002-02-26,40.7200
2002-02-27,40.9200
2002-02-28,41.3000
2002-03-01,42.0000
2002-03-04,42.6500
2002-03-05,42.5000
2002-03-06,43.2100
2002-03-07,42.8900
2002-03-08,42.9100
2002-03-11,43.4900
2002-03-12,44.0000
2002-03-13,43.1200
2002-03-14,43.2400
2002-03-15,43.6100
2002-03-18,43.7400
2002-03-19,43.8000
2002-03-20,43.5300
2002-03-21,43.5300
2002-03-22,43.4700
2002-03-25,42.8500
2002-03-26,43.7400
2002-03-27,43.9500
2002-03-28,43.8300
2002-04-01,43.8300
2002-04-02,44.3800
2002-04-03,43.6900
2002-04-04,43.1500
2002-04-05,42.6300
2002-04-08,43.2400
2002-04-09,42.7200
2002-04-10,43.1800
2002-04-11,42.4000
2002-04-12,41.3000
2002-04-15,41.6000
2002-04-16,42.2800
2002-04-17,42.2200
2002-04-18,42.4600
2002-04-19,42.5200
2002-04-22,41.8500
2002-04-23,41.3500
2002-04-24,40.3000
2002-04-25,40.5400
2002-04-26,40.0000
2002-04-29,39.7000
2002-04-30,40.1700
2002-05-01,40.6900
2002-05-02,40.8000
2002-05-03,40.5900
2002-05-06,39.2500
2002-05-07,39.1000
2002-05-08,40.0100
2002-05-09,39.3600
2002-05-10,38.9600
2002-05-13,40.0100
2002-05-14,40.5800
2002-05-15,39.7100
2002-05-16,40.2700
2002-05-17,40.2000
2002-05-20,39.5900
2002-05-21,39.7700
2002-05-22,40.4300
2002-05-23,40.9000
2002-05-24,40.2300
2002-05-28,39.8400
2002-05-29,40.3000
2002-05-30,39.3500
2002-05-31,39.9300
2002-06-03,39.0800
2002-06-04,39.2300
2002-06-05,39.5600
2002-06-06,39.1500
2002-06-07,39.4200
2002-06-10,39.1300
2002-06-11,39.0300
2002-06-12,39.7000
2002-06-13,39.3600
2002-06-14,39.1500
2002-06-17,40.0300
2002-06-18,39.9300
2002-06-19,39.3700
2002-06-20,39.7400
2002-06-21,39.2500
2002-06-24,40.0000
2002-06-25,39.6000
2002-06-26,39.4500
2002-06-27,40.2500
2002-06-28,40.9200
2002-07-01,40.6500
2002-07-02,40.1600
2002-07-03,39.9100
2002-07-05,40.5200
2002-07-08,40.3600
2002-07-09,39.8000
2002-07-10,38.2300
2002-07-11,37.1000
2002-07-12,36.5300
2002-07-15,35.7500
2002-07-16,35.2000
2002-07-17,35.6100
2002-07-18,34.7500
2002-07-19,32.4000
2002-07-22,30.2700
2002-07-23,30.9200
2002-07-24,33.9300
2002-07-25,33.9000
2002-07-26,35.0900
2002-07-29,36.3300
2002-07-30,35.6700
2002-07-31,36.7600
2002-08-01,33.6500
2002-08-02,33.6100
2002-08-05,32.5000
2002-08-06,33.4000
2002-08-07,34.3000
2002-08-08,36.0000
2002-08-09,36.1000
2002-08-12,35.7300
2002-08-13,34.8400
2002-08-14,36.3900
2002-08-15,37.1400
2002-08-16,36.8500
2002-08-19,37.1600
2002-08-20,36.1800
2002-08-21,36.4400
2002-08-22,37.0300
2002-08-23,36.1500
2002-08-26,36.6700
2002-08-27,36.9000
2002-08-28,35.6200
2002-08-29,35.3900
2002-08-30,35.4500
2002-09-03,33.6200
2002-09-04,33.8200
2002-09-05,33.7700
2002-09-06,34.3100
2002-09-09,34.0000
2002-09-10,34.7900
2002-09-11,34.6000
2002-09-12,33.5900
2002-09-13,34.0800
2002-09-16,34.4000
2002-09-17,33.0700
2002-09-18,33.2000
2002-09-19,32.3600
2002-09-20,32.8700
2002-09-23,32.7200
2002-09-24,31.9500
2002-09-25,32.6100
2002-09-26,34.1500
2002-09-27,32.8200
2002-09-30,31.9000
2002-10-01,33.9200
2002-10-02,32.6500
2002-10-03,33.1800
2002-10-04,33.0600
2002-10-07,33.1900
2002-10-08,32.7000
2002-10-09,32.8300
2002-10-10,33.7900
2002-10-11,34.5400
2002-10-14,34.9300
2002-10-15,36.3000
2002-10-16,35.5300
2002-10-17,36.3000
2002-10-18,36.0000
2002-10-21,36.0000
2002-10-22,35.1800
2002-10-23,35.1300
2002-10-24,34.6700
2002-10-25,35.1100
2002-10-28,34.6400
2002-10-29,33.2300
2002-10-30,34.0800
2002-10-31,33.6600
2002-11-01,34.6600
2002-11-04,34.2600
2002-11-05,35.5800
2002-11-06,35.1100
2002-11-07,34.4800
2002-11-08,34.6100
2002-11-11,33.8700
2002-11-12,34.0400
2002-11-13,33.4000
2002-11-14,34.5000
2002-11-15,34.8500
2002-11-18,34.9700
2002-11-19,35.2000
2002-11-20,35.2400
2002-11-21,34.8600
2002-11-22,34.2200
2002-11-25,34.6000
2002-11-26,33.9600
2002-11-27,34.9600
2002-11-29,34.8000
2002-12-02,34.5800
2002-12-03,34.9000
2002-12-04,34.7700
2002-12-05,34.7700
2002-12-06,35.1500
2002-12-09,34.5100
2002-12-10,35.0400
2002-12-11,35.0200
2002-12-12,34.8800
2002-12-13,35.0400
2002-12-16,35.8600
2002-12-17,35.5200
2002-12-18,35.5400
2002-12-19,35.1500
2002-12-20,35.7000
2002-12-23,35.7500
2002-12-24,35.4200
2002-12-26,35.3200
2002-12-27,34.6400
2002-12-30,34.7500
2002-12-31,34.9400
2003-01-02,35.4700
2003-01-03,35.5000
2003-01-06,36.3800
2003-01-07,35.1500
2003-01-08,35.0000
2003-01-09,35.7400
2003-01-10,35.2400
2003-01-13,35.1000
2003-01-14,35.4200
2003-01-15,34.9300
2003-01-16,35.0900
2003-01-17,34.7200
2003-01-21,33.9200
2003-01-22,33.4900
2003-01-23,33.4100
2003-01-24,32.6900
2003-01-27,31.8200
2003-01-28,32.6600
2003-01-29,32.6600
2003-01-30,33.2300
2003-01-31,34.1500
2003-02-03,34.6300
2003-02-04,34.6300
2003-02-05,34.1300
2003-02-06,33.6100
