Date,AAPL
2006-04-05,21.6600
2006-04-06,21.8900
2006-04-07,21.0000
2006-04-10,20.9800
2006-04-11,20.8500
2006-04-12,19.8900
2006-04-13,20.3000
2006-04-17,20.4300
2006-04-18,20.9800
2006-04-19,20.4700
2006-04-20,21.4100
2006-04-21,21.5700
2006-04-24,21.1700
2006-04-25,20.3500
2006-04-26,21.0400
2006-04-27,20.0100
2006-04-28,20.7300
2006-05-01,21.3700
2006-05-02,21.3000
2006-05-03,21.5500
2006-05-04,21.7500
2006-05-05,21.8000
2006-05-08,21.6400
2006-05-09,21.9600
2006-05-10,21.8200
2006-05-11,21.1400
2006-05-12,21.3000
2006-05-15,19.6100
2006-05-16,20.2900
2006-05-17,20.3000
2006-05-18,18.9100
2006-05-19,18.2000
2006-05-22,16.7400
2006-05-23,17.5100
2006-05-24,16.5000
2006-05-25,17.6500
2006-05-26,17.7500
2006-05-30,16.5400
2006-05-31,16.8000
2006-06-01,16.8800
2006-06-02,17.4200
2006-06-05,16.8400
2006-06-06,16.5600
2006-06-07,16.0000
2006-06-08,15.6000
2006-06-09,16.0800
2006-06-12,15.3400
2006-06-13,14.9100
2006-06-14,15.2900
2006-06-15,16.5400
2006-06-16,16.3200
2006-06-19,16.5800
2006-06-20,16.7400
2006-06-21,17.3400
2006-06-22,16.8900
2006-06-23,17.1500
2006-06-26,16.2900
2006-06-27,16.1700
2006-06-28,16.2000
2006-06-29,17.2500
2006-06-30,17.2500
2006-07-03,17.3900
2006-07-05,17.1100
2006-07-06,17.1000
2006-07-07,16.6000
2006-07-10,16.9800
2006-07-11,16.5000
2006-07-12,16.4900
2006-07-13,16.0900
2006-07-14,15.7200
2006-07-17,15.1700
2006-07-18,14.8800
2006-07-19,14.9900
2006-07-20,14.6100
2006-07-21,14.2700
2006-07-24,14.9000
2006-07-25,15.2900
2006-07-26,15.7900
2006-07-27,16.2000
2006-07-28,15.9400
2006-07-31,15.7800
2006-08-01,15.6000
2006-08-02,16.3100
2006-08-03,16.5800
2006-08-04,16.2000
2006-08-07,16.2700
2006-08-08,16.3900
2006-08-09,16.8100
2006-08-10,17.0800
2006-08-11,16.8500
2006-08-14,17.1200
2006-08-15,17.7500
2006-08-16,17.9000
2006-08-17,18.3800
2006-08-18,18.6200
2006-08-21,18.4400
2006-08-22,18.4100
2006-08-23,18.0100
2006-08-24,18.3500
2006-08-25,18.4500
2006-08-28,18.3500
2006-08-29,18.4600
2006-08-30,18.5200
2006-08-31,18.4500
2006-09-01,18.6000
2006-09-05,19.1900
2006-09-06,19.1800
2006-09-07,19.5000
2006-09-08,19.4200
2006-09-11,18.2300
2006-09-12,18.7400
2006-09-13,19.0000
2006-09-14,19.0000
2006-09-15,18.9700
2006-09-18,18.6800
2006-09-19,17.9300
2006-09-20,18.3300
2006-09-21,18.1500
2006-09-22,18.0800
2006-09-25,18.5100
2006-09-26,18.6900
2006-09-27,18.6400
2006-09-28,18.5900
2006-09-29,18.5800
2006-10-02,18.5900
2006-10-03,18.9200
2006-10-04,19.1400
2006-10-05,19.5600
2006-10-06,19.3300
2006-10-09,19.8400
2006-10-10,19.5800
2006-10-11,19.2700
2006-10-12,19.7000
2006-10-13,20.1600
2006-10-16,19.9500
2006-10-17,19.6800
2006-10-18,19.7600
2006-10-19,19.5800
2006-10-20,19.5400
2006-10-23,19.3800
2006-10-24,19.4500
2006-10-25,19.5300
2006-10-26,19.7000
2006-10-27,19.4900
2006-10-30,18.6600
2006-10-31,18.1800
2006-11-01,18.5000
2006-11-02,18.5800
2006-11-03,18.4000
2006-11-06,18.4200
2006-11-07,18.2500
2006-11-08,18.0000
2006-11-09,17.9200
2006-11-10,18.6400
2006-11-13,18.8200
2006-11-14,18.6800
2006-11-15,18.5000
2006-11-16,18.3100
2006-11-17,17.9700
2006-11-20,17.9200
2006-11-21,18.3300
2006-11-22,18.5400
2006-11-24,18.6000
2006-11-27,18.2500
2006-11-28,18.0600
2006-11-29,18.2000
2006-11-30,18.0600
2006-12-01,18.9000
2006-12-04,19.7900
2006-12-05,19.9400
2006-12-06,19.4700
2006-12-07,20.0000
2006-12-08,19.4900
2006-12-11,19.1200
2006-12-12,18.5900
2006-12-13,18.6700
2006-12-14,19.2800
2006-12-15,19.4000
2006-12-18,19.8100
2006-12-19,19.4900
2006-12-20,19.1100
2006-12-21,19.3900
2006-12-22,19.1900
2006-12-26,19.8700
2006-12-27,20.8300
2006-12-28,20.4500
2006-12-29,20.4300
2007-01-03,21.6900
2007-01-04,21.6000
2007-01-05,20.8600
2007-01-08,20.8600
2007-01-09,20.5300
2007-01-10,20.3100
2007-01-11,21.1000
2007-01-12,21.4200
2007-01-16,22.1000
2007-01-17,22.1000
2007-01-18,21.9300
2007-01-19,21.7500
2007-01-22,22.0200
2007-01-23,21.7800
2007-01-24,21.1800
2007-01-25,20.7900
2007-01-26,20.8500
2007-01-29,20.5100
2007-01-30,20.5900
2007-01-31,20.3000
2007-02-01,20.6200
2007-02-02,20.7500
2007-02-05,20.6900
2007-02-06,20.8000
2007-02-07,20.5200
2007-02-08,20.2700
2007-02-09,20.4000
2007-02-12,19.8700
2007-02-13,19.4500
2007-02-14,19.8700
2007-02-15,20.1300
2007-02-16,20.1500
2007-02-20,19.7000
2007-02-21,19.7400
2007-02-22,19.3800
2007-02-23,19.0000
2007-02-26,19.0900
2007-02-27,18.0500
2007-02-28,18.5100
2007-03-01,18.1100
2007-03-02,17.8500
2007-03-05,17.2000
2007-03-06,17.1500
2007-03-07,16.9600
2007-03-08,17.5800
2007-03-09,17.4900
2007-03-12,17.6100
2007-03-13,17.1300
2007-03-14,17.0900
2007-03-15,17.0000
2007-03-16,16.9900
2007-03-19,17.5900
2007-03-20,17.6600
2007-03-21,18.1800
2007-03-22,18.4000
2007-03-23,18.1000
2007-03-26,17.8200
2007-03-27,17.5000
2007-03-28,16.9200
2007-03-29,16.8600
2007-03-30,16.2100
2007-04-02,15.9400
2007-04-03,16.2900
2007-04-04,16.1200
2007-04-05,16.2700
2007-04-09,16.5900
2007-04-10,16.8500
2007-04-11,16.7700
2007-04-12,16.8500
2007-04-13,17.2300
2007-04-16,17.7600
2007-04-17,17.5600
2007-04-18,17.4800
2007-04-19,17.3500
2007-04-20,17.5400
2007-04-23,18.0000
2007-04-24,18.8100
2007-04-25,18.8500
2007-04-26,19.0900
2007-04-27,18.4500
2007-04-30,18.2800
2007-05-01,18.3400
2007-05-02,18.3000
2007-05-03,18.0200
2007-05-04,18.1400
2007-05-07,17.9300
2007-05-08,17.9400
2007-05-09,17.8600
2007-05-10,17.3300
2007-05-11,17.6400
2007-05-14,17.5000
2007-05-15,17.5400
2007-05-16,18.1800
2007-05-17,18.1600
2007-05-18,18.2900
2007-05-21,17.8100
2007-05-22,18.0700
2007-05-23,17.6000
2007-05-24,17.4600
2007-05-25,17.9900
2007-05-29,18.3100
2007-05-30,18.4200
2007-05-31,18.6400
2007-06-01,18.7800
2007-06-04,17.8900
2007-06-05,17.6600
2007-06-06,16.8300
2007-06-07,16.5100
2007-06-08,16.4700
2007-06-11,16.2700
2007-06-12,16.0000
2007-06-13,16.0700
2007-06-14,16.1200
2007-06-15,16.2500
2007-06-18,16.1900
2007-06-19,16.5400
2007-06-20,16.8100
2007-06-21,16.6900
2007-06-22,16.4600
2007-06-25,16.5300
2007-06-26,16.5500
2007-06-27,16.4900
2007-06-28,16.5100
2007-06-29,16.4200
2007-07-02,16.6400
2007-07-03,17.0000
2007-07-05,17.2500
2007-07-06,17.5900
2007-07-09,17.7300
2007-07-10,17.9400
2007-07-11,18.0200
2007-07-12,18.3100
2007-07-13,18.7000
2007-07-16,18.5700
2007-07-17,18.4200
2007-07-18,18.1900
2007-07-19,19.0900
2007-07-20,18.6700
2007-07-23,18.9100
2007-07-24,18.2200
2007-07-25,18.1500
2007-07-26,17.7300
2007-07-27,17.2800
2007-07-30,17.7400
2007-07-31,17.1500
2007-08-01,16.9700
2007-08-02,16.4500
2007-08-03,16.1600
2007-08-06,16.5000
2007-08-07,16.5000
2007-08-08,16.6800
2007-08-09,16.3800
2007-08-10,16.7600
2007-08-13,17.1600
2007-08-14,16.9500
2007-08-15,16.5100
2007-08-16,16.1800
2007-08-17,16.5300
2007-08-20,16.2100
2007-08-21,15.6000
2007-08-22,15.7700
2007-08-23,15.5600
2007-08-24,16.4500
2007-08-27,16.3100
2007-08-28,15.9000
2007-08-29,16.4300
2007-08-30,16.3800
2007-08-31,16.9500
2007-09-04,16.8900
2007-09-05,16.8400
2007-09-06,17.3100
2007-09-07,16.9000
2007-09-10,17.1000
2007-09-11,16.9400
2007-09-12,17.0000
2007-09-13,17.2000
2007-09-14,17.0200
2007-09-17,17.0800
2007-09-18,17.6900
2007-09-19,17.8700
2007-09-20,17.8800
2007-09-21,18.2300
2007-09-24,18.5000
2007-09-25,18.5100
2007-09-26,18.6800
2007-09-27,18.7400
2007-09-28,19.1400
2007-10-01,19.5700
2007-10-02,19.4000
2007-10-03,19.4100
2007-10-04,19.7400
2007-10-05,19.7500
2007-10-08,19.3700
2007-10-09,19.9200
2007-10-10,20.2600
2007-10-11,20.7500
2007-10-12,20.6300
2007-10-15,20.5300
2007-10-16,19.3800
2007-10-17,19.8200
2007-10-18,19.7400
2007-10-19,19.3000
2007-10-22,19.3700
2007-10-23,20.1700
2007-10-24,19.6800
2007-10-25,19.5000
2007-10-26,20.2900
2007-10-29,20.8500
2007-10-30,20.0000
2007-10-31,19.7000
2007-11-01,18.6800
2007-11-02,18.6000
